Paul Revere 
John Hancock 
Josiah Bartlett 
William Whipple 
Matthew Thorton 
William Floyd 
Philip Livingston 
Francis Lewis  
Lewis Morriss 
Caesar Rodney 
George Reed 
Thomas Mackean 
William Hooper 
Joseph Hewes 
John Penn 
Samuel Adams 
John Adams 
Robert Paine 
Elbridge Gerry 
Richard Stockton 
John Witherspoon 
Francis Hopkinson  
John Hart 
Abraham Clark 
Samuel Chase 
William Paca 
Thomas Stone 
Charles Carroll 
Paul Revere 
Edward Rutledge 
Thomas Heyward,Jr. 
Thomas Lynch,Jr. 
Aurthur Middleton 
John Adams 
Stephen Hopkins 
William Williams 
Oliver Wolcott 
Robert Morris 
Robert Morris 
Benjamin Rush 
Benjamin Franklin 
John Morton 
George Clymer 
James Smith 
George Taylor 
James Wilson 
George Ross 
George Wythe 
Richard Lee 
Thomas Jefferson 
Benjamin Franklin 
Benjamin Harrison 
Thomas Nelson 
Francis Lee 
Carter Braxton 
Button Gwinnett 
Lyman Hall 
George Walton 
Thomas Jefferson 
